Record Length,30000,,Source,CH1,CH2
Sample Interval,0.0020000001563,,Second,Volt,Volt
,,,-28.85200000000,0.00,0.00
,,,-28.85000250000,0.00,0.00
,,,-28.84800250000,0.00,0.03960
,,,-28.84600000000,0.00,0.03960
,,,-28.84400250000,0.04000,0.07920
,,,-28.84200000000,0.00,0.03960
,,,-28.84000250000,0.00,0.00
,,,-28.83800250000,0.00,0.00
,,,-28.83600000000,-0.04000,0.00
,,,-28.83400250000,0.00,0.03960
,,,-28.83200000000,0.00,0.03960
,,,-28.83000250000,0.00,0.07920
,,,-28.82800000000,-0.04000,0.03960
,,,-28.82600250000,-0.04000,0.03960
,,,-28.82400250000,0.00,0.03960
,,,-28.82200000000,0.00,0.03960
,,,-28.82000250000,0.00,0.03960
,,,-28.81800000000,0.00,0.03960
,,,-28.81600250000,0.00,0.07920
,,,-28.81400000000,-0.04000,0.03960
,,,-28.81200250000,0.00,0.03960
,,,-28.81000250000,0.00,0.00
,,,-28.80800000000,0.00,0.00
,,,-28.80600250000,0.00,0.00
,,,-28.80400000000,0.00,0.00
,,,-28.80200250000,0.00,0.00
,,,-28.80000000000,0.00,0.07920
,,,-28.79800250000,0.00,0.03960
,,,-28.79600250000,-0.04000,0.03960
,,,-28.79400000000,-0.04000,0.03960
,,,-28.79200250000,0.00,0.03960
,,,-28.79000000000,0.00,0.03960
,,,-28.78800250000,0.00,0.03960
,,,-28.78600000000,0.00,0.03960
,,,-28.78400250000,0.00,0.03960
,,,-28.78200250000,0.00,0.00
,,,-28.78000000000,0.00,0.03960
,,,-28.77800250000,0.00,0.03960
,,,-28.77600000000,0.00,0.03960
,,,-28.77400250000,-0.04000,0.03960
,,,-28.77200250000,0.00,0.00
,,,-28.77000000000,0.00,0.07920
,,,-28.76800250000,0.00,0.03960
,,,-28.76600000000,0.00,0.03960
,,,-28.76400250000,0.00,0.03960
,,,-28.76200000000,0.00,0.03960
,,,-28.76000250000,0.00,0.03960
,,,-28.75800250000,0.00,0.07920
,,,-28.75600000000,0.00,0.07920
,,,-28.75400250000,0.00,0.03960
,,,-28.75200000000,0.00,0.03960
,,,-28.75000250000,0.00,0.00
,,,-28.74800000000,0.00,0.03960
,,,-28.74600250000,0.00,0.00
,,,-28.74400250000,0.00,0.00
,,,-28.74200000000,0.00,0.03960
,,,-28.74000250000,0.00,0.03960
,,,-28.73800000000,0.00,0.03960
,,,-28.73600250000,0.00,0.03960
,,,-28.73400000000,-0.04000,0.03960
,,,-28.73200250000,-0.04000,0.03960
,,,-28.73000250000,0.00,0.03960
,,,-28.72800000000,0.00,0.03960
,,,-28.72600250000,0.00,0.03960
,,,-28.72400000000,0.00,0.03960
,,,-28.72200250000,0.00,0.03960
,,,-28.72000000000,0.00,0.03960
,,,-28.71800000000,0.00,0.03960
,,,-28.71600250000,0.00,0.07920
,,,-28.71400000000,-0.04000,0.03960
,,,-28.71200250000,0.00,0.03960
,,,-28.71000000000,0.00,0.07920
,,,-28.70800250000,0.00,0.03960
,,,-28.70600250000,0.00,0.03960
,,,-28.70400000000,0.00,0.03960
,,,-28.70200250000,-0.04000,0.03960
,,,-28.70000000000,0.00,0.03960
,,,-28.69800250000,0.00,0.03960
,,,-28.69600000000,0.00,0.00
,,,-28.69400250000,0.00,0.03960
,,,-28.69200250000,0.00,0.03960
,,,-28.69000000000,0.00,0.03960
,,,-28.68800250000,0.00,0.07920
,,,-28.68600000000,0.00,0.03960
,,,-28.68400250000,-0.04000,0.00
,,,-28.68200000000,-0.04000,0.03960
,,,-28.68000250000,0.00,0.03960
,,,-28.67800250000,0.00,0.03960
,,,-28.67600000000,0.00,0.03960
,,,-28.67400250000,0.04000,0.00
,,,-28.67200000000,0.00,0.03960
,,,-28.67000250000,0.00,0.03960
,,,-28.66800000000,0.00,0.03960
,,,-28.66600250000,0.00,0.03960
,,,-28.66400250000,0.00,0.03960
,,,-28.66200000000,0.00,0.00
,,,-28.66000250000,-0.04000,0.03960
,,,-28.65800000000,0.00,0.03960
,,,-28.65600250000,0.00,0.03960
